"Topic1"	"Topic2"	"Topic3"	"Topic4"	"Topic5"	"Topic6"	"Topic7"	"Topic8"	"Topic9"	"Topic10"	"Topic11"	"Topic12"	"Topic13"	"Topic14"	"Topic15"	"Topic16"	"Topic17"	"Topic18"
"ATF2_GM12878"	0.121779534238596	1.71278418898473	0.128833315642762	-0.728189928484942	-0.513904260177232	-1.03109199132202	0.432466881736571	1.80805129169517	1.21402586131812	-1.79340049234131	-0.272321577483241	0.0817036058164102	0.205738193745533	0.194847752403017	-1.54360705880649	-0.612216805017724	0.981295860894333	-0.386794372842271
"ATF7_GM12878"	-0.057190219908981	2.10325861928986	-0.208382656268852	-0.960686274357333	-0.891455534078972	-1.16393041484259	0.804849161738531	2.02717600246628	0.90477941061197	-0.865422632760574	0.00719063244437063	0.201926321293747	0.145172763613156	-0.436834935155027	-1.24135943950581	-0.708421609699821	0.793894618373032	-0.454563813252988
"BATF_GM12878"	1.19721436172704	1.17114849187649	-0.332210865586918	-1.26101844378645	-0.998672027089268	-1.11500456680497	1.40460117313072	0.586020345277577	0.564845107698272	-1.12365318491653	0.974113018715619	1.53518555535463	0.187036263775365	-0.604758601132082	-1.25306741586082	-0.667084158711408	0.41509574778569	-0.679790801452938
"CTCF_Bcells"	-1.01757279070076	1.13176964896397	0.444118811260165	0.53350539760788	0.590896151820043	0.791377411215109	-1.27881309710839	1.16761158776479	0.732977938843805	-0.791513742194383	-1.96350266863741	-2.02271029532335	0.379902987398143	0.429760799568068	-0.366572046112397	0.430787214537019	0.670278141688795	0.137698549408912
"CTCF_GM12878"	-1.16561436301908	1.34178138217653	0.237816012955388	0.4765887027455	0.402951128772404	0.298740978953439	-1.04403447008127	1.58210368071655	0.915123824519948	-1.32053784798556	-1.75976260797041	-1.50773307764162	0.524593338415973	0.335433055304942	-0.573618121639998	0.289264685230865	0.980153384204059	-0.0132496856576506
"E2F4_GM12878"	-1.04406668542351	1.8431595744236	0.120948894391552	-0.073569686597199	0.107186804958582	-0.165697089318698	-0.844994131951615	1.7835071582168	1.13032803391146	-0.915253220109413	-1.45667893845374	-1.43957264587748	0.506873019341665	0.280727060929829	-0.833790280867887	-0.0429825566956441	1.10140144727575	-0.0575267581540607
"EBF1_GM12878"	0.0717661932936207	1.84547714482006	-0.0258127567305249	-0.737077888471514	-0.303396952873483	-0.954532153379435	0.648047727096699	1.59894516627099	1.03686970772342	-1.80182359862888	0.0208284284003801	0.35527390129481	0.0226402391435338	-0.176052540640381	-1.62818557312173	-0.560489199754077	1.14458000761744	-0.557057852060921
"ETS1_GM12878"	-1.14388476219219	1.47429495013057	0.261902834711826	0.154242886998248	0.186660054894491	-0.180839263296566	-0.615602576157781	1.56697072400867	1.24188696489973	-1.39182110353079	-1.60282586347489	-1.30219581619311	0.515388302319938	0.465197068375371	-0.892319261615169	0.0876533717641629	1.22123486443953	-0.0459433760820291
"H3K27ac_GM12878"	-0.692610254924926	1.70512097790057	0.112781068392184	-0.203526908155898	0.170890725178605	-0.614013122766113	-0.435319037179511	1.64562811582971	1.27564074869609	-1.51899522656272	-1.04633994835306	-1.27370682278914	0.667060493223702	0.485625055134972	-1.20744828269658	0.00627927310384861	1.18204385778249	-0.259110711814216
"IRF4_GM12878"	0.0829190855008497	1.68204159189178	0.194681002659824	-0.487730985573705	-0.312247985796787	-0.807175890529731	0.493729905229033	1.57184915952635	1.1809817465701	-1.99281580307881	-0.573016059262032	-0.0920748190148239	0.44793744890387	0.0600046075150863	-1.71706097481753	-0.395613178086499	1.10396019281802	-0.440369044454996
"NFATC1_GM12878"	0.885900060364762	0.561396281729773	-0.129496968481086	-1.28895606451243	-0.955878739140072	-1.24165259622013	1.68342748775704	0.432484124030003	0.59012924917394	-0.856769862955929	1.01775834030247	1.96400425279939	0.0311935863919587	-0.560116318510296	-1.01310192238333	-0.789935921400891	0.447325076876548	-0.777710065821729
"PAX5_GM12878"	-1.01016504567057	1.64620368219185	0.0423388916641285	-0.159263156434248	-0.0363305526083201	-0.601579871768958	-0.279361838459495	1.76460988314169	1.38659620295098	-1.41955991151524	-0.944276363804762	-0.835912592093045	0.618794572231026	0.367874412795815	-1.48086596189781	-0.162754952938658	1.18916069464289	-0.0855080924272642
"SP1_GM12878"	-0.433250096578773	1.61439505961955	-0.1025403587411	-0.53280549260467	-0.128473337853048	-0.891022436482543	0.0267454372726523	1.66579838788902	1.26895184281664	-1.86609859584216	-0.800481899151905	-0.431033328047152	0.698972462716654	0.322905713097206	-1.5215228102038	-0.0439341390978706	1.22149371999185	-0.0681001288005553
"Naive_active"	0.513507360114534	-1.43680011040949	0.828916228307287	0.321349400635304	0.580984463577398	0.594076686014088	0.313666364102403	-1.69992799545197	-0.397169816844676	0.86826908133431	-0.838185490536784	-2.58253366593323	0.516918136058202	0.790829230269668	0.510676767707677	0.658629430033842	-0.109047156201263	0.565841087222697
"Naive_poised"	-0.192863536642159	-0.938578936559064	0.0258491507932446	0.995339163879101	-0.0975868456129528	1.0135246007737	-0.572282992181136	-0.964038548211497	-0.942253519684158	0.292181435870164	-0.462420455890079	0.83414495107526	-0.679820792209378	-0.575207660382741	3.07564065738221	-0.0385685411344124	-0.811468357027774	0.038410225761676
"Naive_primed"	1.30466094525505	-1.08191877899806	-0.109873700542477	-0.281436787484962	-0.442490434886892	-0.0625421830871758	1.07863772399209	-0.962473455007432	-1.05902600282206	0.156086952555499	1.83246748574679	2.30083244880745	-0.682294607701916	-0.532999664570471	0.11722701155005	-0.153676045135721	-0.986264140208076	-0.434916767461679
"Naive_all_3_marks"	-0.695884825630616	-1.0979514114583	-0.324790558825321	1.284786782116	0.504579317218662	0.835524281587527	-1.02265098505202	-1.06042410428303	-0.670238434482447	0.159623065673002	-0.913920119066009	-0.0903677950077124	-0.324216997361943	-0.0987254049026427	2.85683681588204	0.0523670720213944	-0.267598287191385	0.873051588762803
"GC_active"	-0.954517569563302	1.41455902977204	0.114958714148159	-0.104855919571441	0.0554293663122407	-0.512363214733225	-0.202201064193617	1.45332104666991	1.43819802872324	-1.27633693182681	-0.903971811508001	-1.41965076977834	0.706934920836976	0.619866166729307	-1.61945174788135	-0.0361119282067205	1.26707522179375	-0.0408815377228227
"GC_poised"	-0.275346503374562	-1.24311999609823	0.0997468919180941	0.636552448746505	0.489017212068972	1.0323557921063	-0.766513470943905	-1.2085240675263	-1.00797083480715	1.3228637290098	-0.651841721461036	-0.518761129251819	-0.18767967978767	-0.130469440107946	2.60517451728191	0.274366402951632	-0.985224276265978	0.515374125541392
"GC_primed"	1.77071660136247	-0.127174187262958	-0.532454668753889	-0.991849166507607	-0.927868450939789	-0.488696407523768	1.14813643369022	0.148335356900088	-1.10265696799645	0.501934874373215	1.64589735327689	1.96099595859197	-0.68242360763309	-1.05435048849933	-0.0637681121751105	-0.313235438841605	-0.590505583624136	-0.301033498437118
"GC_all_3_marks"	-1.24710724029966	-0.576813270219586	0.214045845460873	0.794225827859632	0.437052840254368	0.745450375791233	-1.7363022448016	-0.491288730981522	-0.297828404267923	0.900386135280479	-1.5493743447043	-1.46197382654053	0.48606278968848	0.582374207749363	1.91890869344503	0.560867449351072	0.0752569045821819	0.646056992352402
"SM_active"	-0.786824071203742	-1.28608204684151	0.935393234633282	0.69385927527897	0.75738975584839	0.541922562793862	0.000969380734526955	-1.61724230221023	0.486651722511853	-1.91327245797435	-0.00558604303402946	-0.716970560027428	0.822324278436188	1.2743580270145	-1.27543069359865	0.81128560325723	0.832772287662587	0.444482046718555
"SM_poised"	-0.432269232488819	-0.676618351005168	-0.13250689382844	0.091239873608719	0.0492873547142516	0.271052407800781	-0.542908718592855	-0.676020097616299	-0.671869714731017	2.02098096108061	-0.464238397956528	-0.367283958122879	-0.472352209543069	-0.459041071640725	3.10576391844807	-0.249988903067671	-0.641695309429917	0.248468342370961
"SM_primed"	1.40175359488092	-1.2512279294443	-0.168871245104971	-0.512943534751467	-0.687418386549416	-0.162055872013009	1.20057652751466	-1.09960538780394	-1.12936411611388	0.876488628623503	1.44226864675394	1.88766108217598	-0.554629165972343	-0.697478865722379	0.772950885305633	-0.226847438916843	-0.93488536390479	-0.156372058957308
"SM_all_3_marks"	-0.986548776458578	-0.849978218200801	-0.767930014596323	2.0031818942388	-0.157597248428817	1.22292994512266	-0.293109120188471	-0.986548776458578	0.157361984762567	0.235704785623618	0.929144441893724	-0.980196657469844	-0.986548776458578	0.222471204397089	2.0603509651374	-0.857918366936719	-0.308989417660306	0.344220151681153
"Plasma_active"	-1.40664451149392	0.846481788016889	0.320035265840825	0.141091166727393	0.531240338544867	0.0295461552123004	-0.507866673786437	0.676539119343709	1.34181564098168	-1.56021746329277	-1.37996557308065	-1.23914517936122	0.85060930431373	1.06916352504553	-1.37874071507602	0.298963880479981	1.28263330916438	0.0844606224197302
"Plasma_poised"	-0.191966494467236	-1.13233640715999	0.0864143553182881	0.639356248455098	0.407361135064454	0.923599670724472	-0.665456413771929	-1.08855810385283	-0.917580246285593	1.48552641290877	-0.800860247938578	-0.742267738808204	-0.400710612171223	-0.0896953291540716	2.74104696428008	0.0973755389991403	-0.734080066755689	0.382831334615032
"Plasma_primed"	1.47681068259866	-1.59171566005172	-0.0964416761282902	-0.569000257526186	-0.462815860247418	-0.595711082044521	1.26593708599803	-1.86466531420231	-0.989543689660439	0.564828627068258	1.45777858657089	1.35101131551231	-0.247520025621697	0.047819584375144	-0.179083041170309	0.772889224122837	-0.560295164336388	0.219716664743136
"Plasma_all_3_marks"	-0.990017346559763	-0.896022074814942	0.0511945739891296	0.854730660574301	0.633326032847705	0.775117972914082	-1.31035671935316	-0.621154912309221	-0.191275454669459	1.11201910919884	-1.07442422891485	-1.29844387192956	-0.383624356972617	1.16054217065598	1.88010721076742	1.18829038843537	-0.907934922238551	0.0179257683792932
"UCSC_style_dmr.N.MS.hyper.diff"	-0.309782245478391	-0.309782245478391	-0.309782245478391	-0.309782245478391	-0.309782245478391	-0.309782245478391	-0.309782245478391	-0.309782245478391	-0.309782245478391	3.9032877949721	-0.309782245478391	-0.309782245478391	-0.309782245478391	-0.288518433026588	0.557072508806762	-0.309782245478391	-0.309782245478391	0.165109565945201
"UCSC_style_dmr.N.MS.hyper.equal"	-0.175532838012023	-0.152415029571437	-0.775652273449275	1.43280612064017	-0.775652273449275	-0.775652273449275	0.166516368506851	-0.775652273449275	-0.775652273449275	2.76325958599634	-0.461910587469894	-0.592596973960554	0.989793424197107	-0.0901384843845524	1.13887969903844	-0.775652273449275	-0.775652273449275	0.410904629164474
"UCSC_style_dmr.N.MS.hypo.diff"	-0.0413393525086688	-0.493262696367357	-0.362690144675146	-0.385794370574486	-0.420816745955487	-0.364242139570793	0.534099358705424	-0.345735332513274	-0.434726134171185	-0.462574193525142	2.22548096573438	3.05764305902643	-0.428342457053244	-0.445063005834642	-0.427405403531344	-0.383656717227652	-0.466556670993216	-0.355018018964592
"UCSC_style_dmr.N.MS.hypo.equal"	0.201737502093951	-0.431954545313177	-0.43167756471175	-0.4707516138416	-0.366468417404417	-0.269188873317596	0.455095615084762	-0.49621404484419	-0.491604296263301	-0.446100340314616	2.42068845310991	2.88093129103786	-0.369040380131951	-0.493127689571149	-0.35897015683722	-0.413377060688909	-0.426830404186781	-0.493147473899822
